TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,REB,AST,FG_PCT,FG3_PCT,FT_PCT,HOME_AWAY,OPP_ABBREVIATION,CURRENT_VENUE_GROUP,PREV_GAME_DATE,PREV_VENUE_GROUP,REST_DAYS,REST_BUCKET,WIN,B2B,TRAVEL_PROXY,OPP_PTS,POINT_DIFF
1610612737,ATL,Atlanta Hawks,0022400395,2024-12-23,ATL vs. MIN,W,117,38,27,0.534,0.5,0.808,Home,MIN,Atlanta,2024-12-21,Atlanta,1.0,1 day,1,0,0,104,13
1610612737,ATL,Atlanta Hawks,0022400413,2024-12-26,ATL vs. CHI,W,141,44,32,0.517,0.378,0.941,Home,CHI,Atlanta,2024-12-23,Atlanta,2.0,2+ days,1,0,0,133,8
1610612737,ATL,Atlanta Hawks,0022400427,2024-12-28,ATL vs. MIA,W,120,47,34,0.512,0.405,0.773,Home,MIA,Atlanta,2024-12-26,Atlanta,1.0,1 day,1,0,0,110,10
1610612737,ATL,Atlanta Hawks,0022400438,2024-12-29,ATL @ TOR,W,136,40,30,0.484,0.4,0.743,Away,TOR,Toronto,2024-12-28,Atlanta,0.0,0 days,1,1,1,107,29
1610612737,ATL,Atlanta Hawks,0022400461,2025-01-01,ATL @ DEN,L,120,44,34,0.45,0.348,0.667,Away,DEN,Denver,2024-12-29,Toronto,2.0,2+ days,0,0,1,139,-19
1610612737,ATL,Atlanta Hawks,0022400477,2025-01-03,ATL @ LAL,L,102,39,22,0.41,0.176,0.778,Away,LAL,Los Angeles,2025-01-01,Denver,1.0,1 day,0,0,1,119,-17
1610612737,ATL,Atlanta Hawks,0022400486,2025-01-04,ATL @ LAC,L,105,43,30,0.432,0.348,0.765,Away,LAC,Los Angeles,2025-01-03,Los Angeles,0.0,0 days,0,1,0,131,-26
1610612737,ATL,Atlanta Hawks,0022400506,2025-01-07,ATL @ UTA,W,124,44,35,0.48,0.409,0.8,Away,UTA,Salt Lake City,2025-01-04,Los Angeles,2.0,2+ days,1,0,1,121,3
1610612737,ATL,Atlanta Hawks,0022400522,2025-01-09,ATL @ PHX,L,115,32,32,0.488,0.469,0.941,Away,PHX,Phoenix,2025-01-07,Salt Lake City,1.0,1 day,0,0,1,123,-8
1610612737,ATL,Atlanta Hawks,0022400556,2025-01-14,ATL vs. PHX,W,122,54,22,0.439,0.415,0.731,Home,PHX,Atlanta,2025-01-09,Phoenix,4.0,2+ days,1,0,1,117,5
1610612737,ATL,Atlanta Hawks,0022400563,2025-01-15,ATL @ CHI,W,110,51,28,0.41,0.302,0.682,Away,CHI,Chicago,2025-01-14,Atlanta,0.0,0 days,1,1,1,94,16
1610612737,ATL,Atlanta Hawks,0022400587,2025-01-18,ATL @ BOS,W,119,55,27,0.473,0.243,0.786,Away,BOS,Boston,2025-01-15,Chicago,2.0,2+ days,1,0,1,115,4
1610612737,ATL,Atlanta Hawks,0022400602,2025-01-20,ATL @ NYK,L,110,41,23,0.471,0.433,0.773,Away,NYK,New York,2025-01-18,Boston,1.0,1 day,0,0,1,119,-9
1610612737,ATL,Atlanta Hawks,0022400612,2025-01-22,ATL vs. DET,L,104,47,25,0.379,0.158,0.769,Home,DET,Atlanta,2025-01-20,New York,1.0,1 day,0,0,1,114,-10
1610612737,ATL,Atlanta Hawks,0022400623,2025-01-23,ATL vs. TOR,L,119,36,30,0.483,0.351,0.733,Home,TOR,Atlanta,2025-01-22,Atlanta,0.0,0 days,0,1,0,122,-3
1610612737,ATL,Atlanta Hawks,0022400639,2025-01-25,ATL vs. TOR,L,94,43,28,0.393,0.297,0.68,Home,TOR,Atlanta,2025-01-23,Atlanta,1.0,1 day,0,0,0,117,-23
1610612737,ATL,Atlanta Hawks,0022400656,2025-01-27,ATL @ MIN,L,92,51,24,0.395,0.279,0.667,Away,MIN,Minneapolis,2025-01-25,Atlanta,1.0,1 day,0,0,1,100,-8
1610612737,ATL,Atlanta Hawks,0022400532,2025-01-28,ATL vs. HOU,L,96,40,19,0.404,0.234,0.813,Home,HOU,Atlanta,2025-01-27,Minneapolis,0.0,0 days,0,1,1,100,-4
1610612737,ATL,Atlanta Hawks,0022400675,2025-01-30,ATL @ CLE,L,115,36,28,0.456,0.333,0.741,Away,CLE,Cleveland,2025-01-28,Atlanta,1.0,1 day,0,0,1,137,-22
1610612737,ATL,Atlanta Hawks,0022400686,2025-02-01,ATL @ IND,L,127,44,31,0.5,0.378,0.719,Away,IND,Indianapolis,2025-01-30,Cleveland,1.0,1 day,0,0,1,132,-5
1610612737,ATL,Atlanta Hawks,0022400701,2025-02-03,ATL @ DET,W,132,37,27,0.519,0.432,0.821,Away,DET,Detroit,2025-02-01,Indianapolis,1.0,1 day,1,0,1,130,2
1610612737,ATL,Atlanta Hawks,0022400719,2025-02-05,ATL vs. SAS,L,125,45,33,0.527,0.381,0.722,Home,SAS,Atlanta,2025-02-03,Detroit,1.0,1 day,0,0,1,126,-1
1610612737,ATL,Atlanta Hawks,0022400736,2025-02-07,ATL vs. MIL,W,115,52,29,0.489,0.361,0.667,Home,MIL,Atlanta,2025-02-05,Atlanta,1.0,1 day,1,0,0,110,5
1610612737,ATL,Atlanta Hawks,0022400744,2025-02-08,ATL @ WAS,W,125,41,36,0.485,0.409,0.765,Away,WAS,Washington,2025-02-07,Atlanta,0.0,0 days,1,1,1,111,14
1610612737,ATL,Atlanta Hawks,0022400756,2025-02-10,ATL @ ORL,W,112,39,29,0.494,0.375,0.857,Away,ORL,Orlando,2025-02-08,Washington,1.0,1 day,1,0,1,106,6
1610612737,ATL,Atlanta Hawks,0022400773,2025-02-12,ATL @ NYK,L,148,47,43,0.5,0.368,0.686,Away,NYK,New York,2025-02-10,Orlando,1.0,1 day,0,0,1,149,-1
1610612737,ATL,Atlanta Hawks,0022400790,2025-02-20,ATL vs. ORL,L,108,51,20,0.39,0.314,0.679,Home,ORL,Atlanta,2025-02-12,New York,7.0,2+ days,0,0,1,114,-6
1610612737,ATL,Atlanta Hawks,0022400814,2025-02-23,ATL vs. DET,L,143,40,30,0.5,0.467,0.722,Home,DET,Atlanta,2025-02-20,Atlanta,2.0,2+ days,0,0,0,148,-5
1610612737,ATL,Atlanta Hawks,0022400825,2025-02-24,ATL vs. MIA,W,98,50,29,0.455,0.257,0.75,Home,MIA,Atlanta,2025-02-23,Atlanta,0.0,0 days,1,1,0,86,12
1610612737,ATL,Atlanta Hawks,0022400841,2025-02-26,ATL @ MIA,L,109,33,29,0.506,0.375,0.789,Away,MIA,Miami,2025-02-24,Atlanta,1.0,1 day,0,0,1,131,-22
1610612737,ATL,Atlanta Hawks,0022400851,2025-02-28,ATL vs. OKC,L,119,46,27,0.489,0.417,0.783,Home,OKC,Atlanta,2025-02-26,Miami,1.0,1 day,0,0,1,135,-16
1610612737,ATL,Atlanta Hawks,0022400878,2025-03-03,ATL @ MEM,W,132,32,35,0.573,0.464,0.529,Away,MEM,Memphis,2025-02-28,Atlanta,2.0,2+ days,1,0,1,130,2
1610612737,ATL,Atlanta Hawks,0022400884,2025-03-04,ATL vs. MIL,L,121,47,33,0.455,0.39,0.765,Home,MIL,Atlanta,2025-03-03,Memphis,0.0,0 days,0,1,1,127,-6
1610612737,ATL,Atlanta Hawks,0022400899,2025-03-06,ATL vs. IND,W,124,43,32,0.532,0.333,0.778,Home,IND,Atlanta,2025-03-04,Atlanta,1.0,1 day,1,0,0,118,6
1610612737,ATL,Atlanta Hawks,0022400914,2025-03-08,ATL vs. IND,W,120,48,23,0.464,0.294,0.952,Home,IND,Atlanta,2025-03-06,Atlanta,1.0,1 day,1,0,0,118,2
1610612737,ATL,Atlanta Hawks,0022400928,2025-03-10,ATL vs. PHI,W,132,48,34,0.541,0.405,0.786,Home,PHI,Atlanta,2025-03-08,Atlanta,1.0,1 day,1,0,0,123,9
1610612737,ATL,Atlanta Hawks,0022400945,2025-03-12,ATL vs. CHA,W,123,43,26,0.42,0.389,0.897,Home,CHA,Atlanta,2025-03-10,Atlanta,1.0,1 day,1,0,0,110,13
1610612737,ATL,Atlanta Hawks,0022400960,2025-03-14,ATL vs. LAC,L,98,44,25,0.42,0.273,0.882,Home,LAC,Atlanta,2025-03-12,Atlanta,1.0,1 day,0,0,0,121,-23
1610612737,ATL,Atlanta Hawks,0022400978,2025-03-16,ATL @ BKN,L,114,38,27,0.467,0.297,0.792,Away,BKN,New York,2025-03-14,Atlanta,1.0,1 day,0,0,1,122,-8
1610612737,ATL,Atlanta Hawks,0022400993,2025-03-18,ATL @ CHA,W,134,46,27,0.538,0.489,0.8,Away,CHA,Charlotte,2025-03-16,New York,1.0,1 day,1,0,1,102,32
1610612737,ATL,Atlanta Hawks,0022401025,2025-03-22,ATL vs. GSW,W,124,46,37,0.57,0.417,0.611,Home,GSW,Atlanta,2025-03-18,Charlotte,3.0,2+ days,1,0,1,115,9
1610612737,ATL,Atlanta Hawks,0022401031,2025-03-23,ATL vs. PHI,W,132,39,35,0.552,0.459,0.864,Home,PHI,Atlanta,2025-03-22,Atlanta,0.0,0 days,1,1,0,119,13
1610612737,ATL,Atlanta Hawks,0022401049,2025-03-25,ATL @ HOU,L,114,42,32,0.417,0.306,0.867,Away,HOU,Houston,2025-03-23,Atlanta,1.0,1 day,0,0,1,121,-7
1610612737,ATL,Atlanta Hawks,0022401062,2025-03-27,ATL @ MIA,L,112,36,27,0.518,0.439,0.727,Away,MIA,Miami,2025-03-25,Houston,1.0,1 day,0,0,1,122,-10
1610612737,ATL,Atlanta Hawks,0022401083,2025-03-30,ATL @ MIL,W,145,46,36,0.532,0.354,0.8,Away,MIL,Milwaukee,2025-03-27,Miami,2.0,2+ days,1,0,1,124,21
1610612737,ATL,Atlanta Hawks,0022401097,2025-04-01,ATL vs. POR,L,113,45,26,0.446,0.219,0.857,Home,POR,Atlanta,2025-03-30,Milwaukee,1.0,1 day,0,0,1,127,-14
1610612737,ATL,Atlanta Hawks,0022401109,2025-04-02,ATL @ DAL,L,118,43,29,0.433,0.385,0.864,Away,DAL,Dallas,2025-04-01,Atlanta,0.0,0 days,0,1,1,120,-2
1610612737,ATL,Atlanta Hawks,0022401128,2025-04-05,ATL vs. NYK,L,105,38,24,0.466,0.311,0.75,Home,NYK,Atlanta,2025-04-02,Dallas,2.0,2+ days,0,0,1,121,-16
1610612737,ATL,Atlanta Hawks,0022401136,2025-04-06,ATL vs. UTA,W,147,42,43,0.568,0.537,0.85,Home,UTA,Atlanta,2025-04-05,Atlanta,0.0,0 days,1,1,0,134,13
1610612737,ATL,Atlanta Hawks,0022401149,2025-04-08,ATL @ ORL,L,112,41,25,0.455,0.341,0.818,Away,ORL,Orlando,2025-04-06,Atlanta,1.0,1 day,0,0,1,119,-7
1610612737,ATL,Atlanta Hawks,0022401169,2025-04-10,ATL @ BKN,W,133,51,36,0.571,0.417,0.667,Away,BKN,New York,2025-04-08,Orlando,1.0,1 day,1,0,1,109,24
1610612737,ATL,Atlanta Hawks,0022401173,2025-04-11,ATL @ PHI,W,124,53,28,0.479,0.381,0.75,Away,PHI,Philadelphia,2025-04-10,New York,0.0,0 days,1,1,1,110,14
1610612737,ATL,Atlanta Hawks,0022401186,2025-04-13,ATL vs. ORL,W,117,44,32,0.534,0.425,0.6,Home,ORL,Atlanta,2025-04-11,Philadelphia,1.0,1 day,1,0,1,105,12
1610612738,BOS,Boston Celtics,0022400073,2024-10-24,BOS @ WAS,W,122,49,21,0.467,0.378,0.778,Away,WAS,Washington,2024-10-22,Boston,1.0,1 day,1,0,1,102,20
1610612738,BOS,Boston Celtics,0022400089,2024-10-26,BOS @ DET,W,124,37,19,0.422,0.458,0.867,Away,DET,Detroit,2024-10-24,Washington,1.0,1 day,1,0,1,118,6
1610612738,BOS,Boston Celtics,0022400104,2024-10-28,BOS vs. MIL,W,119,38,24,0.494,0.383,0.789,Home,MIL,Boston,2024-10-26,Detroit,1.0,1 day,1,0,1,108,11
1610612738,BOS,Boston Celtics,0022400119,2024-10-30,BOS @ IND,L,132,51,23,0.404,0.333,0.806,Away,IND,Indianapolis,2024-10-28,Boston,1.0,1 day,0,0,1,135,-3
1610612738,BOS,Boston Celtics,0022400132,2024-11-01,BOS @ CHA,W,124,41,21,0.477,0.31,0.829,Away,CHA,Charlotte,2024-10-30,Indianapolis,1.0,1 day,1,0,1,109,15
1610612738,BOS,Boston Celtics,0022400141,2024-11-02,BOS @ CHA,W,113,44,23,0.439,0.308,0.893,Away,CHA,Charlotte,2024-11-01,Charlotte,0.0,0 days,1,1,0,103,10
1610612738,BOS,Boston Celtics,0022400157,2024-11-04,BOS @ ATL,W,123,50,27,0.485,0.327,0.692,Away,ATL,Atlanta,2024-11-02,Charlotte,1.0,1 day,1,0,1,93,30
1610612738,BOS,Boston Celtics,0022400172,2024-11-06,BOS vs. GSW,L,112,47,22,0.422,0.352,0.81,Home,GSW,Boston,2024-11-04,Atlanta,1.0,1 day,0,0,1,118,-6
1610612738,BOS,Boston Celtics,0022400187,2024-11-08,BOS vs. BKN,W,108,39,23,0.433,0.264,0.842,Home,BKN,Boston,2024-11-06,Boston,1.0,1 day,1,0,0,104,4
1610612738,BOS,Boston Celtics,0022400202,2024-11-10,BOS @ MIL,W,113,42,27,0.407,0.38,0.889,Away,MIL,Milwaukee,2024-11-08,Boston,1.0,1 day,1,0,1,107,6
1610612738,BOS,Boston Celtics,0022400001,2024-11-12,BOS vs. ATL,L,116,34,28,0.507,0.4,0.815,Home,ATL,Boston,2024-11-10,Milwaukee,1.0,1 day,0,0,1,117,-1
1610612738,BOS,Boston Celtics,0022400218,2024-11-13,BOS @ BKN,W,139,45,35,0.538,0.478,0.708,Away,BKN,New York,2024-11-12,Boston,0.0,0 days,1,1,1,114,25
1610612738,BOS,Boston Celtics,0022400230,2024-11-16,BOS vs. TOR,W,126,42,30,0.444,0.344,0.895,Home,TOR,Boston,2024-11-13,New York,2.0,2+ days,1,0,1,123,3
1610612738,BOS,Boston Celtics,0022400021,2024-11-19,BOS vs. CLE,W,120,42,32,0.512,0.537,0.714,Home,CLE,Boston,2024-11-16,Boston,2.0,2+ days,1,0,0,117,3
1610612738,BOS,Boston Celtics,0022400028,2024-11-22,BOS @ WAS,W,108,43,22,0.424,0.239,0.781,Away,WAS,Washington,2024-11-19,Boston,2.0,2+ days,1,0,1,96,12
1610612738,BOS,Boston Celtics,0022400271,2024-11-24,BOS vs. MIN,W,107,40,25,0.425,0.375,0.8,Home,MIN,Boston,2024-11-22,Washington,1.0,1 day,1,0,1,105,2
1610612738,BOS,Boston Celtics,0022400281,2024-11-25,BOS vs. LAC,W,126,47,33,0.511,0.431,0.7,Home,LAC,Boston,2024-11-24,Boston,0.0,0 days,1,1,0,94,32
1610612738,BOS,Boston Celtics,0022400047,2024-11-29,BOS @ CHI,W,138,51,24,0.5,0.426,0.739,Away,CHI,Chicago,2024-11-25,Boston,3.0,2+ days,1,0,1,129,9
1610612738,BOS,Boston Celtics,0022400307,2024-12-01,BOS @ CLE,L,111,46,17,0.4,0.347,0.947,Away,CLE,Cleveland,2024-11-29,Chicago,1.0,1 day,0,0,1,115,-4
1610612738,BOS,Boston Celtics,0022400316,2024-12-02,BOS vs. MIA,W,108,54,25,0.438,0.345,0.846,Home,MIA,Boston,2024-12-01,Cleveland,0.0,0 days,1,1,1,89,19
1610612738,BOS,Boston Celtics,0022400319,2024-12-04,BOS vs. DET,W,130,43,30,0.479,0.396,0.76,Home,DET,Boston,2024-12-02,Boston,1.0,1 day,1,0,0,120,10
1610612738,BOS,Boston Celtics,0022400335,2024-12-06,BOS vs. MIL,W,111,41,27,0.46,0.321,0.875,Home,MIL,Boston,2024-12-04,Boston,1.0,1 day,1,0,0,105,6
1610612738,BOS,Boston Celtics,0022400345,2024-12-07,BOS vs. MEM,L,121,51,26,0.4,0.3,0.679,Home,MEM,Boston,2024-12-06,Boston,0.0,0 days,0,1,0,127,-6
1610612738,BOS,Boston Celtics,0022401205,2024-12-12,BOS vs. DET,W,123,51,34,0.511,0.417,0.846,Home,DET,Boston,2024-12-07,Boston,4.0,2+ days,1,0,0,99,24
1610612738,BOS,Boston Celtics,0022401217,2024-12-15,BOS @ WAS,W,112,56,26,0.43,0.391,0.583,Away,WAS,Washington,2024-12-12,Boston,2.0,2+ days,1,0,1,98,14
1610612738,BOS,Boston Celtics,0022400363,2024-12-19,BOS vs. CHI,L,108,45,21,0.392,0.25,0.857,Home,CHI,Boston,2024-12-15,Washington,3.0,2+ days,0,0,1,117,-9
1610612738,BOS,Boston Celtics,0022400381,2024-12-21,BOS @ CHI,W,123,59,27,0.48,0.333,0.857,Away,CHI,Chicago,2024-12-19,Boston,1.0,1 day,1,0,1,98,25
1610612738,BOS,Boston Celtics,0022400393,2024-12-23,BOS @ ORL,L,104,41,13,0.44,0.242,0.815,Away,ORL,Orlando,2024-12-21,Chicago,1.0,1 day,0,0,1,108,-4
