GAME_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OREB,AST,TOV,HOME_AWAY,OPPONENT_ABBREVIATION,PREV_GAME,REST_DAYS_NUM,REST_DAYS,OPP_REST_DAYS,OPP_REST_DAYS_NUM,REST_MATCHUP,REST_DAYS_NUM_CAT,OPP_REST_DAYS_NUM_CAT,REST_ADVANTAGE,REST_COMPARISON_GROUP,BACK_TO_BACK,B2B_VS_RESTED_OPP
0022401202,ATL,Atlanta Hawks,2024-12-11,ATL @ NYK,1,108,0.413,0.29,0.65,8,22,27,11,0,NYK,2024-12-08,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022401229,ATL,Atlanta Hawks,2024-12-14,ATL @ MIL,0,102,0.427,0.417,0.647,-8,7,23,13,0,MIL,2024-12-11,2.0,2+,2+,3.0,2+ vs 2+,2,2,0,Descanso igual,0,0
0022400370,ATL,Atlanta Hawks,2024-12-19,ATL @ SAS,0,126,0.474,0.421,0.857,-7,12,32,23,0,SAS,2024-12-14,4.0,2+,2+,3.0,2+ vs 2+,2,2,0,Descanso igual,0,0
0022400378,ATL,Atlanta Hawks,2024-12-21,ATL vs. MEM,0,112,0.488,0.368,0.833,-16,6,29,25,1,MEM,2024-12-19,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400395,ATL,Atlanta Hawks,2024-12-23,ATL vs. MIN,1,117,0.534,0.5,0.808,13,6,27,23,1,MIN,2024-12-21,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400413,ATL,Atlanta Hawks,2024-12-26,ATL vs. CHI,1,141,0.517,0.378,0.941,8,12,32,14,1,CHI,2024-12-23,2.0,2+,2+,2.0,2+ vs 2+,2,2,0,Descanso igual,0,0
0022400427,ATL,Atlanta Hawks,2024-12-28,ATL vs. MIA,1,120,0.512,0.405,0.773,10,9,34,13,1,MIA,2024-12-26,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400438,ATL,Atlanta Hawks,2024-12-29,ATL @ TOR,1,136,0.484,0.4,0.743,29,14,30,15,0,TOR,2024-12-28,0.0,0,2+,2.0,0 vs 2+,0,2,-2,2+ dias de diferença (0 vs 2+),1,1
0022400461,ATL,Atlanta Hawks,2025-01-01,ATL @ DEN,0,120,0.45,0.348,0.667,-19,12,34,14,0,DEN,2024-12-29,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400477,ATL,Atlanta Hawks,2025-01-03,ATL @ LAL,0,102,0.41,0.176,0.778,-17,13,22,8,0,LAL,2025-01-01,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400486,ATL,Atlanta Hawks,2025-01-04,ATL @ LAC,0,105,0.432,0.348,0.765,-26,8,30,23,0,LAC,2025-01-03,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400506,ATL,Atlanta Hawks,2025-01-07,ATL @ UTA,1,124,0.48,0.409,0.8,3,12,35,10,0,UTA,2025-01-04,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400522,ATL,Atlanta Hawks,2025-01-09,ATL @ PHX,0,115,0.488,0.469,0.941,-8,8,32,11,0,PHX,2025-01-07,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400556,ATL,Atlanta Hawks,2025-01-14,ATL vs. PHX,1,122,0.439,0.415,0.731,5,20,22,14,1,PHX,2025-01-09,4.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400563,ATL,Atlanta Hawks,2025-01-15,ATL @ CHI,1,110,0.41,0.302,0.682,16,14,28,11,0,CHI,2025-01-14,0.0,0,0,0.0,0 vs 0,0,0,0,Descanso igual,1,0
0022400587,ATL,Atlanta Hawks,2025-01-18,ATL @ BOS,1,119,0.473,0.243,0.786,4,13,27,18,0,BOS,2025-01-15,2.0,2+,0,0.0,2+ vs 0,2,0,2,2+ dias de diferença (0 vs 2+),0,0
0022400602,ATL,Atlanta Hawks,2025-01-20,ATL @ NYK,0,110,0.471,0.433,0.773,-9,16,23,24,0,NYK,2025-01-18,1.0,1,2+,2.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400612,ATL,Atlanta Hawks,2025-01-22,ATL vs. DET,0,104,0.379,0.158,0.769,-10,15,25,14,1,DET,2025-01-20,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400623,ATL,Atlanta Hawks,2025-01-23,ATL vs. TOR,0,119,0.483,0.351,0.733,-3,9,30,15,1,TOR,2025-01-22,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400639,ATL,Atlanta Hawks,2025-01-25,ATL vs. TOR,0,94,0.393,0.297,0.68,-23,8,28,24,1,TOR,2025-01-23,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400656,ATL,Atlanta Hawks,2025-01-27,ATL @ MIN,0,92,0.395,0.279,0.667,-8,14,24,22,0,MIN,2025-01-25,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400532,ATL,Atlanta Hawks,2025-01-28,ATL vs. HOU,0,96,0.404,0.234,0.813,-4,9,19,18,1,HOU,2025-01-27,0.0,0,0,0.0,0 vs 0,0,0,0,Descanso igual,1,0
0022400675,ATL,Atlanta Hawks,2025-01-30,ATL @ CLE,0,115,0.456,0.333,0.741,-22,10,28,11,0,CLE,2025-01-28,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400686,ATL,Atlanta Hawks,2025-02-01,ATL @ IND,0,127,0.5,0.378,0.719,-5,11,31,13,0,IND,2025-01-30,1.0,1,2+,2.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400701,ATL,Atlanta Hawks,2025-02-03,ATL @ DET,1,132,0.519,0.432,0.821,2,5,27,14,0,DET,2025-02-01,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400719,ATL,Atlanta Hawks,2025-02-05,ATL vs. SAS,0,125,0.527,0.381,0.722,-1,8,33,20,1,SAS,2025-02-03,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400736,ATL,Atlanta Hawks,2025-02-07,ATL vs. MIL,1,115,0.489,0.361,0.667,5,11,29,11,1,MIL,2025-02-05,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400744,ATL,Atlanta Hawks,2025-02-08,ATL @ WAS,1,125,0.485,0.409,0.765,14,8,36,12,0,WAS,2025-02-07,0.0,0,0,0.0,0 vs 0,0,0,0,Descanso igual,1,0
0022400756,ATL,Atlanta Hawks,2025-02-10,ATL @ ORL,1,112,0.494,0.375,0.857,6,6,29,17,0,ORL,2025-02-08,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400773,ATL,Atlanta Hawks,2025-02-12,ATL @ NYK,0,148,0.5,0.368,0.686,-1,19,43,14,0,NYK,2025-02-10,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400790,ATL,Atlanta Hawks,2025-02-20,ATL vs. ORL,0,108,0.39,0.314,0.679,-6,16,20,9,1,ORL,2025-02-12,7.0,2+,2+,7.0,2+ vs 2+,2,2,0,Descanso igual,0,0
0022400814,ATL,Atlanta Hawks,2025-02-23,ATL vs. DET,0,143,0.5,0.467,0.722,-5,10,30,13,1,DET,2025-02-20,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400825,ATL,Atlanta Hawks,2025-02-24,ATL vs. MIA,1,98,0.455,0.257,0.75,12,13,29,18,1,MIA,2025-02-23,0.0,0,0,0.0,0 vs 0,0,0,0,Descanso igual,1,0
0022400841,ATL,Atlanta Hawks,2025-02-26,ATL @ MIA,0,109,0.506,0.375,0.789,-22,9,29,17,0,MIA,2025-02-24,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
